year,reg_num,reg_name,team,seed,forest,reg_num_opp
2015,3,East,Villanova,1,60,4
2015,1,Midwest,Kentucky,1,59,2
2015,4,South,Duke,1,63,3
2015,2,West,Wisconsin,1,61,1
2016,3,East,North Carolina,1,61,4
2016,4,Midwest,Virginia,1,59,3
2016,1,South,Villanova,2,63,2
2016,2,West,Oklahoma,2,59,1
2017,1,East,Villanova,1,61,2
2017,3,Midwest,Oregon,3,58,4
2017,4,South,North Carolina,1,63,3
2017,2,West,Gonzaga,1,60,1
2018,3,East,Villanova,1,63,4
2018,4,Midwest,Kansas,1,60,3
2018,1,South,Loyola Chicago,11,55,2
2018,2,West,Gonzaga,4,59,1
2019,1,East,Michigan St.,2,61,2
2019,4,Midwest,Kentucky,2,57,3
2019,3,South,Virginia,1,63,4
2019,2,West,Texas Tech,3,61,1
