"","year","round","reg_num","reg_name","team","seed","score","team_opp","score_opp","forest","lasso","ridge","net","forest_opp","lasso_opp","ridge_opp","net_opp","tie","win_pred","win_actual"
"1",2015,5,2,"Final Four","Duke","1",81,"Michigan St.",61,63,62,62,62,53,47,47,47,0,"1","1"
"2",2015,5,1,"Final Four","Kentucky","1",64,"Wisconsin",71,59,63,63,63,61,58,58,58,0,"0","0"
"3",2015,5,2,"Final Four","Michigan St.","7",61,"Duke",81,53,47,47,47,63,62,62,62,0,"0","0"
"4",2015,5,1,"Final Four","Wisconsin","1",71,"Kentucky",64,61,58,58,58,59,63,63,63,0,"1","1"
"5",2016,5,2,"Final Four","North Carolina","1",83,"Syracuse",66,61,60,60,60,55,55,55,55,0,"1","1"
"6",2016,5,1,"Final Four","Oklahoma","2",51,"Villanova",95,59,58,58,58,63,63,63,63,0,"0","0"
"7",2016,5,2,"Final Four","Syracuse","10",66,"North Carolina",83,55,55,55,55,61,60,60,60,0,"0","0"
"8",2016,5,1,"Final Four","Villanova","2",95,"Oklahoma",51,63,63,63,63,59,58,58,58,0,"1","1"
"9",2017,5,1,"Final Four","Gonzaga","1",77,"South Carolina",73,60,61,61,61,54,40,40,40,0,"1","1"
"10",2017,5,2,"Final Four","North Carolina","1",77,"Oregon",76,63,59,59,59,58,62,62,62,0,"1","1"
"11",2017,5,2,"Final Four","Oregon","3",76,"North Carolina",77,58,62,62,62,63,59,59,59,0,"0","0"
"12",2017,5,1,"Final Four","South Carolina","7",73,"Gonzaga",77,54,40,40,40,60,61,61,61,0,"0","0"
"13",2018,5,2,"Final Four","Kansas","1",79,"Villanova",95,60,61,61,61,63,63,63,63,0,"0","0"
"14",2018,5,1,"Final Four","Loyola Chicago","11",57,"Michigan",69,55,44,44,44,58,59,59,59,0,"0","0"
"15",2018,5,1,"Final Four","Michigan","3",69,"Loyola Chicago",57,58,59,59,59,55,44,44,44,0,"1","1"
"16",2018,5,2,"Final Four","Villanova","1",95,"Kansas",79,63,63,63,63,60,61,61,61,0,"1","1"
"17",2019,5,2,"Final Four","Auburn","5",62,"Virginia",63,56,58,58,58,63,63,63,63,0,"0","0"
"18",2019,5,1,"Final Four","Michigan St.","2",51,"Texas Tech",61,61,57,57,57,61,61,61,61,1,"0","0"
"19",2019,5,1,"Final Four","Texas Tech","3",61,"Michigan St.",51,61,61,61,61,61,57,57,57,1,"1","1"
"20",2019,5,2,"Final Four","Virginia","1",63,"Auburn",62,63,63,63,63,56,58,58,58,0,"1","1"
