"","region","team","seed","team_opp","seed_opp","forest","lasso","ridge","net","forest_opp","lasso_opp","ridge_opp","net_opp","win_pred"
"1","East","Dayton","1","Providence",8,63,60,60,60,38,45,45,45,"1"
"2","East","Duke","2","Houston",7,59,61,61,61,53,44,44,44,"1"
"3","East","Michigan St.","3","Virginia",6,56,59,59,59,30,39,39,39,"1"
"4","East","Ohio St.","5","Oregon",4,53,46,46,46,52,55,55,55,"1"
"5","Midwest","Baylor","1","Saint Mary's",9,60,63,63,63,29,32,32,32,"1"
"6","Midwest","Maryland","4","Auburn",5,40,34,34,34,35,30,30,30,"1"
"7","Midwest","Villanova","2","Texas Tech",10,53,55,55,55,41,52,52,52,"1"
"8","Midwest","Xavier","11","Kentucky",3,41,35,35,35,38,39,39,39,"1"
"9","South","Creighton","3","Penn St.",6,56,56,56,56,49,54,54,54,"1"
"10","South","Florida St.","2","Michigan",7,51,59,59,59,45,50,50,50,"1"
"11","South","Kansas","1","LSU",8,59,62,62,62,33,25,25,25,"1"
"12","South","West Virginia","5","Wisconsin",4,50,41,41,41,42,50,50,50,"1"
"13","West","Gonzaga","1","USC",9,62,54,54,54,36,33,33,33,"1"
"14","West","Louisville","4","Butler",5,55,48,48,48,53,41,41,41,"1"
"15","West","San Diego St.","2","Rutgers",10,61,59,59,59,48,42,42,42,"1"
"16","West","Seton Hall","3","BYU",6,47,49,49,49,40,50,50,50,"1"
